X,Y,Z,Cu,HoleId,ClusterId
3028.78,5207,2400.18,1.68,32,0
3031.59,5207,2394.88,1.86,32,0
3095.4,5155.2,2476.5,0.9,3,0
3095.4,5155.2,2482.5,0.69,3,0
3167.79,5195.5,2508.95,0.88,20,0
3169.72,5195.5,2511.24,0.88,20,0
3175.5,5195.5,2518.14,0.77,20,0
2959.1,5465.9,2449.5,0.98,23,0
2959.1,5465.9,2482.5,1.01,23,0
2980.53,5410.7,2403.45,1.6,64,0
2971.21,5410.7,2414.56,1.49,64,0
2959.1,5465.9,2476.5,0.92,23,0
2976.67,5410.7,2408.05,1.6,64,0
2959.1,5465.9,2470.5,0.9,23,0
2959.1,5465.9,2461.5,0.92,23,0
2959.1,5465.9,2485.5,1.01,23,0
2959.1,5465.9,2458.5,0.92,23,0
3059.5,5455.3,2401.5,0.83,44,0
2974.74,5410.7,2410.35,1.6,64,0
2970.24,5410.7,2415.71,2.18,64,0
2968.96,5410.7,2417.24,2.18,64,0
2978.6,5410.7,2405.75,1.6,64,0
2972.81,5410.7,2412.64,1.49,64,0
2959.1,5465.9,2473.5,0.92,23,0
2959.1,5465.9,2455.5,0.81,23,0
2959.1,5465.9,2452.5,0.81,23,0
2959.1,5465.9,2467.5,0.9,23,0
2959.1,5465.9,2479.5,0.84,23,0
2959.1,5465.9,2488.5,1.03,23,0
2959.1,5465.9,2464.5,0.74,23,0
3012.94,5407.9,2395.05,0.89,0,0
3010.69,5407.9,2392.36,0.89,0,0
2854.5,5265.3,2517.5,1.07,57,0
2854.5,5265.3,2514.5,1.07,57,0
2946.3,5158.6,2460.3,1.05,58,0
2970.96,5108.5,2510.22,1.22,75,0
2946.3,5158.6,2463.3,1.05,58,0
2971.98,5108.5,2513.04,1.22,75,0
3173.84,5106,2573.41,0.57,8,0
3172.5,5106,2571.92,0.57,8,0
3181.29,5195.5,2525.03,0.82,20,0
3182.89,5195.5,2526.95,0.82,20,0
3170.76,5106,2569.99,0.52,8,0
3183.73,5106,2584.39,0.67,8,0
3179.36,5195.5,2522.73,0.7,20,0
3178.53,5106,2578.61,0.67,8,0
3192.86,5195.5,2538.82,0.7,20,0
3169.29,5106,2568.35,0.52,8,0
3176.52,5106,2576.38,0.66,8,0
3174.85,5106,2574.52,0.57,8,0
3177.43,5195.5,2520.44,0.7,20,0
3182.12,5106,2582.6,0.67,8,0
3180.53,5106,2580.84,0.67,8,0
3190.93,5195.5,2536.52,0.58,20,0
3194.79,5195.5,2541.12,0.7,20,0
3059.5,5455.3,2395.5,1.06,44,0
3099.1,5369.4,2360.7,0.91,14,0
3059.5,5455.3,2398.5,0.83,44,0
3099.1,5369.4,2363.7,1.2,14,0
